epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6616.26,0.54587,0.48674,0.90992,0.22157,0.20553,0.17517,0.13003,1.20673,4.56347,1.41587,0.000139129,0.000139129,0.000139129
103,6628.6,0.53373,0.45631,0.90133,0.29086,0.19811,0.16995,0.12457,1.19671,4.67377,1.38744,0.000137407,0.000137407,0.000137407
104,6641.2,0.53749,0.46577,0.9063,0.28199,0.20261,0.18491,0.13756,1.20377,4.70572,1.40972,0.000135686,0.000135686,0.000135686
105,6653.68,0.52567,0.44249,0.9038,0.29525,0.20162,0.19303,0.1444,1.20678,4.66954,1.41638,0.000133964,0.000133964,0.000133964
106,6665.89,0.49689,0.4377,0.88121,0.27873,0.20779,0.18684,0.13856,1.20437,4.67045,1.40956,0.000132243,0.000132243,0.000132243
107,6678.34,0.5278,0.4612,0.90139,0.34052,0.21238,0.19009,0.14363,1.19701,4.47374,1.4179,0.000130521,0.000130521,0.000130521
108,6690.86,0.51098,0.4311,0.90049,0.3963,0.19754,0.18606,0.14064,1.2212,4.33859,1.46115,0.0001288,0.0001288,0.0001288
109,7113.67,0.52807,0.44872,0.9077,0.38056,0.19961,0.16679,0.12382,1.23333,4.50202,1.45317,0.000127078,0.000127078,0.000127078
110,7126.1,0.53463,0.46541,0.89338,0.35166,0.19328,0.18218,0.13235,1.23812,4.4745,1.44649,0.000125357,0.000125357,0.000125357
111,7138.87,0.50697,0.43342,0.9034,0.28818,0.21323,0.18832,0.14119,1.21605,4.71417,1.44337,0.000123635,0.000123635,0.000123635
112,7151.19,0.5167,0.41469,0.89107,0.29908,0.24001,0.2058,0.1525,1.21585,4.56969,1.44825,0.000121913,0.000121913,0.000121913
113,7163.78,0.49953,0.42616,0.89639,0.23319,0.22697,0.19511,0.14475,1.20003,4.53377,1.43964,0.000120192,0.000120192,0.000120192
114,7176.4,0.52318,0.44511,0.91061,0.27403,0.20782,0.19691,0.14716,1.2076,4.69651,1.42775,0.000118471,0.000118471,0.000118471
115,7189.06,0.49574,0.41462,0.89139,0.31109,0.21019,0.18214,0.13637,1.21122,4.73481,1.42245,0.000116749,0.000116749,0.000116749
